代號,名稱,年度,季別,營業活動之淨現金流入（流出）
8358,金居,109,Q4,757856.00
8358,金居,109,Q2,515750.00
8358,金居,109,Q1,210624.00
8358,金居,109,Q3,519433.00
8367,建新國際,109,Q3,399257.00
8367,建新國際,109,Q4,638557.00
8367,建新國際,109,Q1,63507.00
8367,建新國際,109,Q2,263678.00
8374,羅昇,109,Q4,107532.00
8374,羅昇,109,Q3,-61362.00
8374,羅昇,109,Q1,41945.00
8374,羅昇,109,Q2,-18138.00
8383,千附,109,Q3,706909.00
8383,千附,109,Q4,839127.00
8383,千附,109,Q2,363602.00
8383,千附,109,Q1,211055.00
8390,金益鼎,109,Q3,282872.00
8390,金益鼎,109,Q4,396657.00
8390,金益鼎,109,Q2,168266.00
8390,金益鼎,109,Q1,-82806.00
8401,白紗科,109,Q3,109744.00
8401,白紗科,109,Q1,39388.00
8401,白紗科,109,Q4,173466.00
8401,白紗科,109,Q2,71767.00
8403,盛弘,109,Q2,185693.00
8403,盛弘,109,Q4,717739.00
8403,盛弘,109,Q3,442141.00
8403,盛弘,109,Q1,33962.00
8404,百和興業-KY,109,Q2,1127995.00
8404,百和興業-KY,109,Q4,3174539.00
8404,百和興業-KY,109,Q1,1307400.00
8404,百和興業-KY,109,Q3,2195655.00
8409,商之器,109,Q2,-7816.00
8409,商之器,109,Q1,16964.00
8409,商之器,109,Q3,-7585.00
8409,商之器,109,Q4,-6049.00
8410,森田,109,Q1,118795.00
8410,森田,109,Q2,121471.00
8410,森田,109,Q3,138320.00
8410,森田,109,Q4,205546.00
8411,福貞-KY,109,Q2,57604.00
8411,福貞-KY,109,Q1,56809.00
8411,福貞-KY,109,Q4,223477.00
8411,福貞-KY,109,Q3,-29225.00
8415,大國鋼,109,Q3,702110.00
8415,大國鋼,109,Q2,-483230.00
8415,大國鋼,109,Q4,2123484.00
8415,大國鋼,109,Q1,24677.00
8416,實威,109,Q3,228885.00
8416,實威,109,Q1,90341.00
8416,實威,109,Q2,217400.00
8416,實威,109,Q4,307305.00
8421,旭源,109,Q3,-34048.00
8421,旭源,109,Q1,-3678.00
8421,旭源,109,Q4,-3890.00
8421,旭源,109,Q2,-40654.00
8422,可寧衛,109,Q3,1228909.00
8422,可寧衛,109,Q2,818936.00
8422,可寧衛,109,Q4,1824938.00
8422,可寧衛,109,Q1,603572.00
8423,保綠-KY,109,Q4,34198.00
8423,保綠-KY,109,Q2,7171.00
8423,保綠-KY,109,Q1,879.00
8423,保綠-KY,109,Q3,17008.00
8424,惠普,109,Q1,53954.00
8424,惠普,109,Q3,144932.00
8424,惠普,109,Q4,202460.00
8424,惠普,109,Q2,72682.00
8426,紅木-KY,109,Q2,-13336.00
8426,紅木-KY,109,Q3,-33327.00
8426,紅木-KY,109,Q4,107048.00
8426,紅木-KY,109,Q1,-3572.00
8429,金麗-KY,109,Q1,-34457.00
8429,金麗-KY,109,Q4,-212541.00
8429,金麗-KY,109,Q2,-61173.00
8429,金麗-KY,109,Q3,-206823.00
8431,匯鑽科,109,Q3,69415.00
8431,匯鑽科,109,Q4,129005.00
8431,匯鑽科,109,Q1,54836.00
8431,匯鑽科,109,Q2,33704.00
8432,東生華,109,Q4,11611.00
8432,東生華,109,Q3,6461.00
8432,東生華,109,Q2,-8713.00
8432,東生華,109,Q1,-27231.00
8433,弘帆,109,Q4,482796.00
8433,弘帆,109,Q1,3161.00
